variance,skewness,curtosis,entropy,class,result
0.6549699999999999,5.1815,1.0673,-0.42113,0.0,0.0
5.2620000000000005,3.9834,-1.5572,1.0103,0.0,0.0
5.8862,5.8747,-2.8167,-0.30086999999999997,0.0,0.0
4.3846,-4.8794,3.3662,-0.029324,0.0,0.0
4.8272,3.0687,0.68604,0.8073100000000001,0.0,0.0
2.8261,9.4007,-3.3034,-1.0509,0.0,0.0
0.77445,9.0552,-2.4089,-1.3884,0.0,0.0
4.2164,9.4607,-4.9288,-5.2366,0.0,0.0
0.37984,0.70975,0.75716,-0.44441,0.0,0.0
3.8969,7.4163,-1.8245,0.14007,0.0,0.0
0.14783,7.946000000000001,1.0742,-3.3409,0.0,0.0
5.1129,-0.49871000000000004,0.62863,1.1189,0.0,0.0
4.6499,7.6336,-1.9427,-0.37458,0.0,0.0
1.5673,7.9274,-0.056842,-2.1694,0.0,0.0
0.51947,-3.2633,3.0895,-0.98492,0.0,0.0
3.9529,-2.3548,2.3792,0.48273999999999995,0.0,0.0
1.7748,-0.76978,5.5854,1.3039,0.0,0.0
3.5358,6.7086,-0.81857,0.47886000000000006,0.0,0.0
1.1588,8.9331,-2.0807,-1.1272,0.0,0.0
4.2027,0.22760999999999998,0.9610799999999999,0.97282,0.0,0.0
0.3292,-4.4552,4.5718,-0.9888,0.0,1.0
5.6272,10.0857,-4.2931,-3.8142,0.0,0.0
4.5691,-4.4552,3.1769,0.004296100000000001,0.0,0.0
1.9409999999999998,0.46351000000000003,4.6472,1.0879,0.0,0.0
4.2586,11.2962,-4.0943,-4.3457,0.0,0.0
1.8533,6.1458,1.0176,-2.0401,0.0,0.0
-0.006891899999999999,9.2931,-0.41243,-1.9638,0.0,0.0
-0.12624000000000002,10.3216,-3.7121,-6.1185,0.0,0.0
1.6426,3.0149,0.22849,-0.147,0.0,0.0
4.0422,-4.391,4.7466,1.137,0.0,0.0
1.9340000000000002,-9.2828e-06,4.816,-0.33966999999999997,0.0,0.0
5.0691,0.21313000000000001,0.20278,1.2095,0.0,0.0
4.3435,3.3295,0.83598,0.64955,0.0,0.0
3.8962,-4.7904,3.3954,-0.53751,0.0,0.0
3.1377,-4.1096,4.5701,0.9896299999999999,0.0,0.0
-0.24811,-0.17797000000000002,4.9068,0.15429,0.0,1.0
6.0919,2.9673,-1.3267,1.4551,0.0,0.0
-0.78289,11.3603,-0.37644,-7.0495,0.0,0.0
4.0715,7.6398,-2.0824,-1.1698,0.0,0.0
0.7057,-5.4981,8.3368,-2.8715,0.0,0.0
3.1541,-5.1711,6.5991,0.57455,0.0,0.0
2.9939999999999998,7.2011,-1.2153,0.3211,0.0,0.0
4.0215,-2.7004,2.4957,0.36635999999999996,0.0,0.0
0.017269999999999997,8.693,1.3989,-3.9668,0.0,0.0
-1.8411,10.8306,2.7689999999999997,-3.0901,0.0,0.0
2.4235,9.5332,-3.0789,-2.7746,0.0,0.0
4.1654,-3.4495,3.6430000000000002,1.0879,0.0,0.0
0.3798,0.7098,0.7572,-0.4444,0.0,0.0
2.7831,10.9796,-3.557,-4.4039,0.0,0.0
2.9719,6.8369,-0.2702,0.71291,0.0,0.0
-1.3885,12.5026,0.69118,-7.5487,0.0,0.0
0.20976999999999998,-0.46146000000000004,7.7267,0.90946,0.0,1.0
2.1319,-2.0403,2.5574,-0.061652,0.0,0.0
4.8265,0.80287,1.6371,1.1875,0.0,0.0
3.8644,3.7061,0.70403,0.35214,0.0,0.0
4.0102,10.6568,-4.1388,-5.0646,0.0,0.0
2.1616,-6.8804,8.1517,-0.081048,0.0,0.0
2.8969,0.70768,2.29,1.8663,0.0,0.0
-0.9171799999999999,9.9884,1.1804,-5.2263,0.0,0.0
1.105,7.4432,0.41098999999999997,-3.0332,0.0,0.0
-1.2528,10.2036,2.1787,-5.6038,0.0,0.0
-1.6162,0.80908,8.1628,0.60817,0.0,0.0
2.1059,7.6046,-0.47755,-1.8461,0.0,0.0
4.0329,0.23175,0.8908200000000001,1.1823,0.0,0.0
0.94225,5.8561,1.8762,-0.32544,0.0,0.0
0.5706,-0.024841,1.2421,-0.56208,0.0,0.0
2.5698,-4.4076,5.9856,0.078002,0.0,0.0
5.7353,5.2808,-2.2598,0.075416,0.0,0.0
3.7635,2.7811,0.6611899999999999,0.34179,0.0,0.0
2.4226,-4.5752,5.947,0.21506999999999998,0.0,0.0
2.0007,1.8644,2.6491,0.47368999999999994,0.0,0.0
3.3004,7.0811,-1.3258,0.22283000000000003,0.0,0.0
1.1317,3.9647,3.3979,0.84351,0.0,0.0
1.04,-6.9321,8.2888,-1.2991,0.0,0.0
0.5706,-0.0248,1.2421,-0.5621,0.0,0.0
3.946,6.8514,-1.5443,-0.5582,0.0,0.0
4.0446,11.1741,-4.3582,-4.7401,0.0,0.0
2.9421,7.4101,-0.97709,-0.8840600000000001,0.0,0.0
1.0135,8.4551,-1.672,-2.0815,0.0,0.0
2.8232,10.8513,-3.1466,-3.9784,0.0,0.0
1.3264,1.0326,5.6566,-0.41336999999999996,0.0,0.0
2.8084,11.3045,-3.3394,-4.4194,0.0,0.0
3.6244,1.4609,1.3501,1.9284,0.0,0.0
2.8033,9.0862,-3.3668,-1.0224,0.0,0.0
2.4196,6.4665,-0.75688,0.228,0.0,0.0
0.7225199999999999,-0.053811000000000005,5.6703,-1.3509,0.0,0.0
-0.69572,8.6165,1.8419,-4.3289,0.0,0.0
3.3848,3.2674,0.9096700000000001,0.25128,0.0,0.0
4.2406,-2.4852,1.608,0.7155,0.0,0.0
1.9157,6.0816,0.23705,-2.0116,0.0,0.0
4.6054,-4.0765,2.7587,0.31981,0.0,0.0
1.0652,8.3682,-1.4004,-1.6509,0.0,0.0
1.7452,4.8028,2.0878,0.62627,0.0,0.0
0.3292,-4.4552,4.5718,-0.9888,0.0,1.0
1.0987,0.6394,5.989,-0.58277,0.0,0.0
0.5706,-0.0248,1.2421,-0.5621,0.0,0.0
1.7939,-1.1174,1.5454,-0.26079,0.0,0.0
5.4188,10.1457,-4.084,-3.6991,0.0,0.0
1.4276,8.3847,-2.0995,-1.9677,0.0,0.0
2.0165,-0.25246,5.1707,1.0763,0.0,0.0
-1.3,10.2678,-2.9530000000000003,-5.8638,0.0,0.0
4.1373,0.49248000000000003,1.093,1.8276,0.0,0.0
-0.023579,7.1742,0.78457,-0.75734,0.0,1.0
2.565,8.633,-2.9941,-1.3082,0.0,0.0
-1.3,10.2678,-2.9530000000000003,-5.8638,0.0,0.0
0.56953,7.6294,1.5754,-3.2233,0.0,0.0
3.6941,-3.9482,4.2625,1.1577,0.0,0.0
1.1676,9.1566,-2.0867,-0.80647,0.0,0.0
3.6575,7.2797,-2.2692,-1.1440000000000001,0.0,0.0
0.5415,6.0319,1.6825,-0.46121999999999996,0.0,0.0
-0.96511,9.4111,1.7305,-4.8629,0.0,0.0
-1.5222,10.8409,2.7827,-4.0974,0.0,0.0
-2.2527,11.5321,2.5899,-3.2737,0.0,0.0
-0.36038000000000003,4.1158,3.1143,-0.37199,0.0,1.0
5.681,7.795,-2.6848,-0.9254399999999999,0.0,0.0
